sweep,algo,n,W,seed,reps,ms_mediana,ms_min,mem_bytes
n,gurobi,1000,1000,1042,3,3.318,3.282,0
n,gurobi,2000,1000,2042,3,8.144,8.098,0
n,gurobi,3000,1000,3042,3,10.664,10.580,0
n,gurobi,4000,1000,4042,3,15.556,15.493,0
n,gurobi,5000,1000,5042,3,14.462,14.083,0
n,gurobi,6000,1000,6042,3,13.388,13.182,0
n,gurobi,7000,1000,7042,3,14.211,13.779,0
n,gurobi,8000,1000,8042,3,27.632,27.564,0
n,gurobi,9000,1000,9042,3,26.144,25.974,0
n,gurobi,10000,1000,10042,3,19.816,19.744,0
